fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
12.L1.2040.U2435,0.0,0.0,172,908,0,0.0,0.0%,0.0%,86,57.0,9.5%,6.3%,95,108
12.L1.2550.2501,0.0,0.0,264,64,0,0.0,0.0%,0.0%,132,88.0,0.0%,62.5%,145,165
12.L1.2550.2502,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.2503,0.0,0.0,8,,0,0.0,0.0%,0.0%,4,3.0,,,4,5
12.L1.2550.2504,0.0,0.0,88,2,0,0.0,0.0%,0.0%,44,29.0,0.0%,0.0%,48,55
12.L1.2550.2505,0.0,0.0,120,388,0,0.0,0.0%,0.0%,60,40.0,15.5%,10.3%,66,75
12.L1.2550.A2518,0.0,0.0,304,,0,0.0,0.0%,0.0%,0,101.0,,,0,0
12.L1.2550.A2519,0.0,0.0,0,40,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2550.A2520,0.0,0.0,6,98,0,0.0,0.0%,0.0%,3,2.0,3.1%,2.0%,3,4
12.L1.2550.A2521,0.0,0.0,100,45,0,0.0,0.0%,0.0%,50,33.0,88.9%,74.1%,55,62
12.L1.2550.A2528,0.0,0.0,12,,0,0.0,0.0%,0.0%,6,4.0,,,7,8
12.L1.2550.A2530,0.0,0.0,0,167,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2550.A2532,0.0,0.0,216,36,0,0.0,0.0%,0.0%,108,72.0,0.0%,0.0%,119,135
12.L1.2550.A2534,0.0,0.0,74,,0,0.0,0.0%,0.0%,37,25.0,,,41,46
12.L1.2550.A2535,0.0,0.0,125,248,0,0.0,0.0%,0.0%,62,42.0,25.0%,16.8%,68,78
12.L1.2550.A2536,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.A2537,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.A2538,0.0,0.0,0,296,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2550.A2539,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2518,0.0,0.0,36,12,0,0.0,0.0%,0.0%,18,12.0,50.0%,100.0%,20,23
12.L1.2550.U2519,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2520,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2526,0.0,0.0,112,48,0,0.0,0.0%,0.0%,56,37.0,83.3%,77.8%,62,70
12.L1.2550.U2527,0.0,0.0,168,427,0,0.0,0.0%,0.0%,84,56.0,19.7%,13.1%,92,105
12.L1.2550.U2528,0.0,0.0,16,,0,0.0,0.0%,0.0%,8,5.0,,,9,10
12.L1.2550.U2530,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2531,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2532,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2533,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2534,0.0,0.0,10,48,0,0.0,0.0%,0.0%,5,3.0,10.4%,6.9%,6,6
12.L1.2550.U2535,0.0,0.0,120,,0,0.0,0.0%,0.0%,60,40.0,,,66,75
12.L1.2550.U2536,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2537,0.0,0.0,0,34,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2550.U2538,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2550.U2539,0.0,0.0,0,192,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.3030.3002,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3005,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3018,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3019,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3020,0.0,0.0,0,,0,18.0,,,0,0.0,,,0,0
12.L1.3030.3021,18.0,0.0,0,,24,35.0,,,0,6.0,,,0,0
12.L1.3030.3022,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3023,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.3030.3024,177.0,464.0,251,,170,239.0,67.7%,95.4%,0,297.0,,,26,85
12.L1.3030.3026,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.3030.33316,105.0,0.0,0,165,92,66.0,,,0,35.0,0.0%,21.2%,0,0
14.L1.3030.33318,326.0,300.0,0,90,313,220.0,,,155,209.0,27.8%,0.0%,138,116
14.L1.3030.33320,3668.0,220.0,0,,134,1307.0,,,0,1296.0,,,0,0
14.L1.3030.33408,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.3030.33411,110.0,721.0,99,,154,315.0,44.4%,0.0%,0,310.0,,,23,77
14.L1.3030.33418,187.0,799.0,0,5,142,336.0,,,277,329.0,0.0%,0.0%,298,232
14.L1.3060.A36320,2425.0,826.0,1975,3879,1800,3638.0,91.1%,15.8%,1720,1742.0,44.3%,44.9%,1618,1720
14.L1.3060.A36320D,89.0,34.0,215,143,132,187.0,61.4%,87.1%,136,113.0,95.1%,78.8%,139,153
14.L1.3060.A36420,525.0,947.0,1718,2078,1271,1557.0,74.0%,90.6%,1248,1063.0,60.1%,51.2%,1329,1382
14.L1.3060.A36800,612.0,145.0,232,4,310,343.0,66.4%,52.3%,4,330.0,100.0%,0.0%,65,78
14.L1.3060.A36800D,424.0,202.0,0,,281,209.0,,,0,209.0,,,0,0
14.L1.3060.A36800V,416.0,314.0,0,,282,243.0,,,0,243.0,,,0,0
14.L1.3060.A36801,0.0,256.0,2133,24,540,85.0,25.3%,4.0%,1143,796.0,0.0%,0.0%,1263,1401
14.L1.3060.A36801D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.3060.A36801V,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.3060.A36810,0.0,0.0,124,,0,0.0,0.0%,0.0%,62,41.0,,,68,77
14.L1.3060.A36810D,15.0,0.0,72,31,15,5.0,20.8%,6.9%,31,29.0,100.0%,93.5%,40,41
14.L1.3060.A36822,1588.0,1914.0,3091,1720,3469,4560.0,87.8%,52.5%,2437,2198.0,58.3%,72.2%,2529,2614
14.L1.3060.A36822D,252.0,342.0,711,140,333,342.0,46.8%,48.1%,508,435.0,0.0%,0.0%,536,563
14.L1.3060.A36910,8.0,0.0,42,93,2,3.0,4.8%,6.3%,23,17.0,24.7%,17.9%,24,27
14.L1.3060.A36922,1699.0,2163.0,1827,1785,2062,2072.0,87.1%,86.6%,1902,1896.0,93.4%,93.8%,1932,1902
14.L1.3060.A36CB8006,1640.0,235.0,92,167,850,1052.0,0.0%,0.0%,167,656.0,100.0%,0.0%,71,175
14.L1.3060.A36CB8006D,0.0,59.0,0,,24,28.0,,,18,20.0,,,21,16
14.L1.3060.A36CB8006V,96.0,0.0,4,,110,93.0,0.0%,0.0%,21,33.0,,,12,13
14.L1.3060.A36CB8010,215.0,307.0,887,964,654,900.0,73.7%,98.5%,579,470.0,60.1%,48.7%,617,660
14.L1.3060.A36CB8010D,7.0,50.0,25,96,71,50.0,0.0%,1.3%,29,27.0,30.2%,28.5%,32,30
14.L1.3060.A36CB8010V,3.0,50.0,18,84,100,63.0,0.0%,0.0%,25,24.0,29.8%,28.2%,28,25
14.L1.3060.A36CW8005,1424.0,64.0,716,2228,584,703.0,81.6%,98.2%,662,735.0,29.7%,33.0%,559,621
14.L1.3060.A36CW8005D,102.0,130.0,16,300,116,77.0,0.0%,0.0%,67,83.0,22.3%,27.6%,64,55
14.L1.3060.A36CW8005V,48.0,6.0,129,,25,22.0,19.4%,16.8%,76,61.0,,,78,88
14.L1.3060.A36CW8007,936.0,2433.0,5768,1576,1612,1313.0,27.9%,22.8%,3801,3046.0,0.0%,6.7%,4118,4353
14.L1.3060.A36CW8007D,33.0,56.0,200,67,52,40.0,26.0%,19.8%,123,96.0,16.4%,56.2%,133,143
14.L1.3060.A36CW8007V,96.0,282.0,227,24,230,186.0,98.7%,81.8%,217,202.0,0.0%,0.0%,233,227
14.L1.3060.A36CW8008,5898.0,5607.0,498,2674,4904,4386.0,0.0%,0.0%,3111,4001.0,83.7%,50.4%,2826,2446
14.L1.3060.A36CW8008D,455.0,291.0,40,152,275,283.0,0.0%,0.0%,198,262.0,69.7%,27.6%,169,152
14.L1.3060.A36CW8008V,575.0,643.0,83,256,524,462.0,0.0%,0.0%,349,434.0,63.7%,30.6%,328,285
14.L1.3060.A36CW8009,27.0,105.0,498,,184,249.0,36.9%,50.0%,0,210.0,,,0,0
14.L1.3060.A36CW8009D,0.0,13.0,0,,16,16.0,,,4,4.0,,,5,4
14.L1.3060.A36CW8009V,0.0,11.0,0,,125,45.0,,,3,4.0,,,4,3
14.L1.3060.A36MA8017,920.0,188.0,559,732,1227,1798.0,0.0%,0.0%,520,556.0,71.0%,75.9%,465,500
14.L1.3060.A36MD9016,1078.0,601.0,229,751,720,671.0,0.0%,0.0%,510,636.0,67.9%,84.7%,444,421
14.L1.3060.A36MD9016D,176.0,63.0,57,36,94,96.0,35.1%,32.2%,83,99.0,0.0%,0.0%,71,72
14.L1.3060.A36MG9012,1417.0,737.0,2017,264,890,879.0,44.1%,43.6%,1513,1390.0,0.0%,0.0%,1509,1612
14.L1.3060.A36MG9012D,343.0,236.0,357,181,300,196.0,84.0%,55.0%,318,312.0,24.3%,27.6%,313,323
14.L1.3060.A36ML8012,1704.0,1309.0,1437,151,1446,1472.0,99.4%,97.6%,151,1483.0,100.0%,0.0%,98,151
14.L1.3060.A36ML8016,1243.0,878.0,508,978,760,771.0,50.4%,48.2%,766,876.0,78.3%,89.6%,711,687
14.L1.3060.A36MN9017,720.0,636.0,724,749,729,777.0,99.3%,92.6%,697,693.0,93.1%,92.6%,693,700
14.L1.3060.A36MN9017D,125.0,0.0,246,213,139,88.0,56.5%,35.8%,148,124.0,69.5%,58.1%,148,168
14.L1.3060.A36PG8015,2569.0,581.0,750,376,1278,1411.0,29.6%,11.9%,1063,1300.0,0.0%,0.0%,873,905
14.L1.3060.A36PM9015,1309.0,614.0,993,882,878,693.0,88.4%,69.8%,942,972.0,93.2%,89.8%,892,927
14.L1.3060.A36PM9015D,295.0,135.0,63,109,104,150.0,34.9%,0.0%,131,164.0,79.8%,49.2%,111,107
14.L1.3060.A36PW8000,6205.0,4869.0,6352,1044,4568,4145.0,71.9%,65.3%,1044,5809.0,100.0%,0.0%,679,1759
14.L1.3060.A36PW8000D,257.0,124.0,34,38,218,164.0,0.0%,0.0%,106,138.0,0.0%,0.0%,88,83
14.L1.3060.A36PW8000V,141.0,395.0,93,131,280,264.0,0.0%,0.0%,193,210.0,52.7%,39.9%,203,178
14.L1.3060.A36SG404,413.0,326.0,125,82,364,308.0,0.0%,0.0%,243,288.0,0.0%,0.0%,224,210
14.L1.3060.A36SG404D,0.0,0.0,10,28,0,0.0,0.0%,0.0%,28,3.0,100.0%,11.9%,14,0
14.L1.3060.A36SG405,24.0,56.0,897,133,50,39.0,5.6%,4.4%,470,326.0,0.0%,0.0%,515,578
14.L1.3060.A36SG405D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.3060.A36SW304,397.0,384.0,254,16,380,375.0,50.4%,52.5%,16,345.0,100.0%,0.0%,10,16
14.L1.3060.A36SW305,1595.0,353.0,43,75,356,843.0,0.0%,0.0%,75,664.0,100.0%,0.0%,32,75
14.L1.3060.US36AG901,11.0,151.0,142,,106,87.0,74.6%,61.5%,0,101.0,,,16,53
14.L1.3060.US36AG901D,112.0,2.0,0,,92,38.0,,,23,38.0,,,12,13
14.L1.3060.US36AW801,650.0,55.0,33,389,458,464.0,0.0%,0.0%,163,246.0,41.9%,63.2%,102,106
14.L1.3060.US36CB806,0.0,0.0,0,,0,21.0,,,0,0.0,,,0,0
14.L1.3060.US36CB902,0.0,2.0,0,,35,112.0,,,1,1.0,,,1,1
14.L1.3060.US36CB902D,0.0,0.0,0,,0,3.0,,,0,0.0,,,0,0
14.L1.3060.US36CG802,11.0,0.0,134,140,164,58.0,77.6%,43.5%,69,48.0,49.3%,34.5%,75,85
14.L1.3060.US36CG804,0.0,0.0,0,,0,7.0,,,0,0.0,,,0,0
14.L1.3060.US36CN906,28.0,0.0,0,,42,15.0,,,0,9.0,,,0,0
14.L1.3060.US36CN906D,3.0,0.0,0,,10,3.0,,,0,1.0,,,0,0
14.L1.3060.US36CW807,45.0,476.0,1,,370,290.0,0.0%,0.0%,0,174.0,,,55,185
14.L1.3060.US36LB907,5.0,252.0,1316,400,154,149.0,11.7%,11.3%,735,524.0,16.2%,68.9%,813,890
14.L1.3060.US36LB907D,0.0,16.0,6,,28,15.0,0.0%,0.0%,8,7.0,,,9,8
14.L1.3060.US36LG904,11.0,0.0,0,,11,4.0,,,0,4.0,,,0,0
14.L1.3060.US36LG904D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.4080.48800,2400.0,2600.0,0,50,910,1667.0,,,50,1667.0,100.0%,0.0%,14,50
14.L1.4080.48807,7.0,0.0,0,,2,2.0,,,0,2.0,,,0,0
14.L1.4080.48868,0.0,0.0,0,,0,17.0,,,0,0.0,,,0,0
14.L1.4080.48907,29.0,5.0,0,6,29,11.0,,,7,11.0,83.3%,11.1%,4,4
14.L1.4080.48907D,3.0,0.0,0,,6,1.0,,,0,1.0,,,0,0
14.L1.4080.48968D,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.60120.61184061,0.0,27.0,0,9,14,9.0,,,8,9.0,88.9%,100.0%,9,7
14.L1.60120.61185064,0.0,0.0,0,,0,1.0,,,0,0.0,,,0,0
14.L1.60120.61286012,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.60120.M61LD902,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.6060.66181004,57.0,267.0,0,84,323,234.0,,,92,108.0,90.5%,71.4%,99,77
14.L1.6060.66182031,11.0,0.0,0,,44,4.0,,,0,4.0,,,0,0
14.L1.6060.66282018,14.0,742.0,44,108,300,260.0,0.0%,0.0%,247,267.0,0.0%,0.0%,285,225
14.L1.6060.66383026,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.6060.A66CB8052,45.0,8.0,0,,15,20.0,,,11,18.0,,,7,7
14.L1.6060.A66CG8051,260.0,98.0,263,766,100,151.0,38.0%,57.3%,766,207.0,100.0%,27.0%,548,585
14.L1.6060.A66DT8053,42.0,4.0,0,,15,15.0,,,10,15.0,,,6,6
14.L1.6060.A66EB8058,70.0,238.0,147,66,155,128.0,94.6%,86.8%,159,152.0,0.0%,0.0%,171,163
14.L1.6060.A66EG8057,72.0,131.0,55,,65,215.0,81.8%,0.0%,81,86.0,,,83,77
14.L1.6060.A66MD8061,335.0,7.0,571,66,138,170.0,24.2%,29.8%,355,304.0,0.0%,0.0%,350,396
14.L1.6060.A66MG8054,0.0,39.0,361,416,24,20.0,6.6%,5.4%,192,133.0,46.2%,32.1%,212,236
14.L1.6060.A66MW8056,324.0,52.0,0,78,130,125.0,,,80,125.0,97.4%,39.3%,50,49
14.L1.6060.A66OW8055,297.0,258.0,1097,199,227,200.0,20.7%,18.2%,685,551.0,0.0%,0.0%,723,786
14.L1.6060.M66LD902,16.0,0.0,4,,12,15.0,0.0%,0.0%,5,7.0,,,4,4
14.L1.8012.BL81807,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.80120.M81AG905,0.0,15.0,22,,10,6.0,45.5%,25.8%,16,12.0,,,18,18
14.L1.80120.M81CB907,5.0,0.0,0,,4,2.0,,,0,2.0,,,0,0
14.L1.80120.M81DT904,0.0,0.0,4,,0,0.0,0.0%,0.0%,2,1.0,,,2,2
14.L1.80120.M81LD902,0.0,2.0,0,,6,4.0,,,1,1.0,,,1,1
14.L1.80120.M81LG902,0.0,0.0,2,7,0,16.0,0.0%,0.0%,1,1.0,14.3%,9.5%,1,1
14.L1.80120.M81MW906,0.0,4.0,0,,12,5.0,,,1,1.0,,,1,1
14.L1.80120.M81OW903,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.8080.88181004,91.0,3.0,1,,112,70.0,0.0%,0.0%,20,32.0,,,11,12
14.L1.8080.88282018,42.0,342.0,7,,36,133.0,0.0%,0.0%,0,130.0,,,5,18
14.L1.8080.88283003,0.0,40.0,2,50,40,13.0,0.0%,0.0%,13,14.0,26.0%,28.0%,15,12
14.L1.8080.88284041,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.8080.88285052,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
14.L1.8080.M88AG905,0.0,0.0,18,,0,0.0,0.0%,0.0%,9,6.0,,,10,11
14.L1.8080.M88DT904,0.0,0.0,0,2,0,5.0,,,0,0.0,0.0%,0.0%,0,0
14.L1.8080.M88LD902,18.0,45.0,0,11,45,28.0,,,17,21.0,45.5%,9.1%,18,14
14.L1.8080.M88LG902,26.0,34.0,1,16,25,24.0,0.0%,0.0%,16,20.0,100.0%,72.9%,15,12
14.L1.8080.M88MW909,186.0,12.0,0,,79,72.0,,,41,66.0,,,23,24
14.L1.8080.M88OW903,0.0,16.0,0,,16,5.0,,,5,5.0,,,6,4
15.L1.3060.2911,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
15.L1.3060.2912,0.0,16.0,0,,172,5.0,,,5,5.0,,,6,4
15.L1.3060.2913,0.0,0.0,576,40,0,0.0,0.0%,0.0%,288,192.0,0.0%,0.0%,317,360
15.L1.6060.6601,80.0,132.0,208,,208,267.0,100.0%,71.5%,0,140.0,,,16,53
15.L1.6060.6602,176.0,135.0,0,430,218,266.0,,,76,104.0,17.7%,24.1%,65,55
15.L1.6060.6604,166.0,166.0,267,10,173,178.0,64.8%,66.8%,216,200.0,0.0%,0.0%,221,229
15.L1.6060.6605,40.0,0.0,0,,10,34.0,,,0,13.0,,,0,0
15.L1.6060.6606,50.0,0.0,68,,15,17.0,22.1%,24.5%,44,39.0,,,42,48
20.L1.100100.51107,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.100100.91110,661.0,285.0,524,202,349,329.0,66.6%,62.8%,480,490.0,0.0%,0.0%,454,476
20.L1.100100.91111,32.0,2.0,209,99,61,61.0,29.2%,29.0%,14,81.0,14.1%,81.8%,9,20
20.L1.100100.91112,242.0,448.0,504,60,415,427.0,82.3%,84.7%,435,398.0,0.0%,0.0%,458,460
20.L1.100100.91113,117.0,355.0,82,251,220,170.0,0.0%,0.0%,171,185.0,68.1%,73.6%,181,158
20.L1.100100.91120,130.0,16.0,0,6,136,197.0,,,31,49.0,0.0%,0.0%,19,19
20.L1.100100.91121,530.0,217.0,90,258,305,312.0,0.0%,0.0%,216,279.0,83.7%,91.9%,178,172
20.L1.100100.91122,16.0,45.0,6,40,27,20.0,0.0%,0.0%,20,22.0,50.0%,55.8%,21,18
20.L1.100100.91123,41.0,499.0,40,135,15,182.0,37.5%,0.0%,164,193.0,78.5%,56.8%,106,232
20.L1.1580.91151,3773.0,4276.0,4210,4009,4800,6441.0,86.0%,47.0%,4142,4086.0,96.7%,98.1%,4189,4179
20.L1.1580.91152,4520.0,10606.0,4482,6417,7427,7171.0,34.3%,40.0%,6327,6536.0,98.6%,98.1%,6629,6109
20.L1.1580.91153,6568.0,3576.0,4526,3319,4679,4916.0,96.6%,91.4%,4649,4890.0,59.9%,52.7%,4398,4499
20.L1.1580.91154,5029.0,8783.0,5031,5203,7400,7414.0,52.9%,52.6%,6156,6281.0,81.7%,79.3%,6344,6025
20.L1.1580.91181,1188.0,3120.0,1473,2118,2925,3116.0,1.4%,0.0%,1910,1927.0,90.2%,91.0%,2021,1878
20.L1.1580.91182,1285.0,7705.0,3823,3938,4907,4112.0,71.6%,92.4%,4480,4271.0,86.2%,91.5%,4928,4573
20.L1.1580.91183,5526.0,3351.0,7086,1553,4674,5194.0,66.0%,73.3%,5654,5321.0,0.0%,0.0%,5623,5925
20.L1.1580.91184,3200.0,8243.0,5603,3260,5664,4785.0,98.9%,85.4%,5914,5682.0,18.6%,25.7%,6286,6038
20.L1.3030.U81101,1716.0,2684.0,2727,1298,2400,2336.0,88.0%,85.7%,2512,2376.0,6.5%,17.0%,2611,2604
20.L1.3030.U81102,5348.0,669.0,763,427,2400,2608.0,0.0%,0.0%,427,2260.0,100.0%,0.0%,327,1488
20.L1.3030.U81103,1426.0,1593.0,3165,3959,2100,2266.0,66.4%,71.6%,2346,2061.0,59.3%,52.1%,2441,2557
20.L1.3030.U81104,1805.0,3374.0,2293,1091,2639,2410.0,84.9%,94.9%,2520,2491.0,0.0%,0.0%,2623,2526
20.L1.3030.U81105,2452.0,1450.0,1347,3488,2261,2635.0,32.1%,4.4%,1599,1750.0,45.8%,50.2%,1494,1496
20.L1.3030.U81106,2155.0,1129.0,1124,278,1969,2359.0,24.8%,0.0%,278,1469.0,100.0%,0.0%,139,236
20.L1.3030.U81107,2636.0,3189.0,1725,1180,3500,4116.0,0.0%,0.0%,1180,2517.0,100.0%,0.0%,799,1180
20.L1.3030.U81108,2538.0,1870.0,1674,1359,2472,2762.0,52.3%,35.0%,1359,2027.0,100.0%,50.8%,834,1359
20.L1.3030.U81109,2176.0,2872.0,2422,2039,2584,2508.0,93.3%,96.5%,2508,2490.0,77.0%,77.9%,2555,2514
20.L1.3030.U81110,3260.0,2962.0,1880,1363,2802,2646.0,51.0%,59.2%,2481,2701.0,18.0%,1.9%,2397,2319
20.L1.3030.U81111,734.0,817.0,1651,1489,1225,1511.0,74.2%,91.5%,1217,1067.0,81.7%,71.7%,1267,1329
20.L1.3030.U81112,2225.0,1443.0,1037,1994,1795,1899.0,26.9%,16.8%,1396,1568.0,70.0%,78.7%,1298,1275
20.L1.5050.35108,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.5050.35109,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.5050.35205,0.0,0.0,292,,0,109.0,0.0%,37.4%,0,97.0,,,0,1252
20.L1.5050.35210,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.5050.91501,28.0,0.0,108,,185,304.0,28.7%,0.0%,60,45.0,,,62,71
20.L1.5050.91502,1339.0,367.0,244,1218,683,731.0,0.0%,0.0%,500,650.0,41.1%,53.4%,397,397
20.L1.5050.91503,1540.0,514.0,530,87,902,990.0,29.8%,13.3%,87,861.0,100.0%,0.0%,170,114
20.L1.5050.91504,0.0,0.0,0,30,0,0.0,,,0,0.0,0.0%,0.0%,0,0
20.L1.5050.91505,1116.0,639.0,96,,725,703.0,0.0%,0.0%,0,617.0,,,0,14
20.L1.5050.91506,0.0,40.0,80,203,119,179.0,51.2%,0.0%,52,40.0,25.6%,19.7%,58,61
20.L1.5050.91507,0.0,120.0,876,692,70,76.0,8.0%,8.7%,474,332.0,68.5%,48.0%,524,579
20.L1.5050.91508,1760.0,2590.0,1213,766,1800,1832.0,51.6%,49.0%,1736,1854.0,0.0%,0.0%,1750,1638
20.L1.6060.16001,196.0,34.0,590,102,248,364.0,42.0%,61.7%,344,273.0,0.0%,0.0%,356,399
20.L1.6060.16003,61.0,0.0,0,,61,26.0,,,0,20.0,,,0,0
20.L1.6060.16004,56.0,110.0,39,,56,55.0,56.4%,58.1%,64,68.0,,,66,60
20.L1.6060.16105,6.0,3.0,0,76,8,22.0,,,76,3.0,100.0%,3.9%,1,27
20.L1.6060.16114,72.0,28.0,0,,42,47.0,,,23,33.0,,,17,15
20.L1.6060.16117,191.0,0.0,0,23,58,64.0,,,0,64.0,0.0%,0.0%,0,0
20.L1.6060.16405,0.0,8.0,0,,3,3.0,,,2,3.0,,,3,2
20.L1.6060.16901,280.0,61.0,191,248,118,119.0,61.8%,62.3%,170,177.0,68.5%,71.5%,154,166
20.L1.6060.16902,146.0,247.0,1,202,150,138.0,0.0%,0.0%,104,131.0,51.5%,65.0%,102,82
20.L1.6060.16903,0.0,112.0,57,38,45,37.0,78.9%,65.5%,62,56.0,36.8%,51.8%,70,65
20.L1.6060.16904,0.0,110.0,106,290,85,92.0,80.2%,87.1%,290,72.0,100.0%,24.8%,220,618
20.L1.6060.16905,435.0,312.0,477,248,295,316.0,61.8%,66.3%,419,408.0,31.0%,35.5%,415,429
20.L1.6060.16906,256.0,342.0,370,331,280,295.0,75.7%,79.7%,339,323.0,97.6%,97.5%,349,350
20.L1.6060.26004,290.0,587.0,1033,182,340,304.0,32.9%,29.5%,751,637.0,0.0%,0.0%,803,833
20.L1.6060.26006,63.0,141.0,20,,80,68.0,0.0%,0.0%,65,75.0,,,67,57
20.L1.6060.26101,4.0,76.0,0,32,25,27.0,,,24,27.0,75.0%,83.3%,27,21
20.L1.6060.26103,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.26107,219.0,89.0,28,376,166,236.0,0.0%,0.0%,84,112.0,22.3%,29.8%,68,65
20.L1.6060.26112,1.0,16.0,7,8,35,7.0,0.0%,95.2%,8,8.0,100.0%,100.0%,9,8
20.L1.6060.26172,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.26400,0.0,54.0,26,56,54,18.0,0.0%,69.2%,29,27.0,51.8%,47.6%,33,30
20.L1.6060.26500,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.26901,382.0,239.0,74,422,200,215.0,0.0%,0.0%,185,232.0,43.8%,54.9%,162,151
20.L1.6060.26902,52.0,876.0,184,337,451,427.0,0.0%,0.0%,365,371.0,91.7%,90.0%,413,353
20.L1.6060.26903,0.0,162.0,255,140,91,71.0,35.7%,27.8%,176,139.0,74.3%,99.3%,197,202
20.L1.6060.26904,288.0,220.0,0,503,255,273.0,,,503,169.0,100.0%,33.7%,215,693
20.L1.6060.26905,12.0,32.0,0,63,15,15.0,,,12,15.0,19.0%,23.3%,12,10
20.L1.6060.36001,0.0,92.0,250,8,64,61.0,25.6%,24.5%,153,114.0,0.0%,0.0%,170,181
20.L1.6060.36002,228.0,244.0,125,52,176,157.0,59.2%,74.1%,181,199.0,0.0%,0.0%,177,168
20.L1.6060.36003,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.36004,95.0,363.0,0,,229,420.0,,,0,153.0,,,0,0
20.L1.6060.36005,40.0,0.0,28,,165,13.0,0.0%,47.6%,22,23.0,,,19,22
20.L1.6060.36006,49.0,0.0,5,,275,16.0,0.0%,0.0%,12,18.0,,,8,9
20.L1.6060.36902,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.36903,42.0,0.0,255,,58,14.0,22.7%,5.5%,0,99.0,,,0,88
20.L1.6060.36904,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
20.L1.6060.36905,50.0,0.0,0,39,332,127.0,,,0,17.0,0.0%,42.7%,0,0
20.L1.6060.36906,139.0,372.0,0,,139,170.0,,,0,170.0,,,0,0
20.L1.6060.86301,61.0,129.0,396,109,131,144.0,33.1%,36.3%,249,195.0,0.0%,20.8%,269,288
20.L1.6060.A16001,3388.0,267.0,1395,1260,1550,1807.0,88.9%,70.5%,1455,1683.0,84.5%,66.4%,1199,1315
20.L1.6060.A16003,17.0,0.0,0,,15,21.0,,,0,6.0,,,0,0
20.L1.6060.A16004,36.0,0.0,17,,417,314.0,0.0%,0.0%,0,18.0,,,0,3
